Model,Dataset,GFLOPs,GPU_Memory_Used,InferenceTime_ms,k_Neighbors,EmbedDim,NumStages,Parameters,NumPoints,BatchSize,Worker,GPU_Name,GPU_TotalMem_GB,GPU_ComputeCapability
npnet,ModelNet40,0.00208896,21.68701171875,1.315635580297807,110,5,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,36.0517578125,1.7696555315771985,110,10,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,47.66796875,2.1873660172596936,110,15,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,60.388671875,2.630930775374995,110,20,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,74.306640625,3.039592167546722,110,25,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,88.3046875,3.4348538103520965,110,30,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,99.0908203125,3.862804188720604,110,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,112.3134765625,4.2728175174088685,110,40,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,125.6708984375,4.6640258415011955,110,45,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,137.79248046875,5.102567255400375,110,50,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,177.21923828125,6.332513646909445,110,65,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,189.83837890625,6.744177825253825,110,70,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,269.3203125,9.221851067566215,110,100,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,395.607421875,13.318175679087831,110,150,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,90.8291015625,3.6040300797411455,100,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,92.4814453125,3.652663932240763,102,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,95.9462890625,3.705299632089451,104,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,97.5068359375,3.752761500001533,106,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,97.7158203125,3.8093156679329647,108,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,99.0908203125,3.863372460756348,110,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,100.7431640625,3.9123851711978017,112,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,102.3955078125,3.969812284219207,114,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,105.51171875,4.023691112063886,116,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,105.7001953125,4.070693455020651,118,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,107.3525390625,4.126384594452053,120,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,109.0048828125,4.17968285991848,122,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,110.6572265625,4.235812920612107,124,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,114.2900390625,4.286247271965929,126,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00196608,99.0908203125,2.128521139463304,110,35,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.002064384,99.0908203125,3.0165468668821758,110,35,3,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,ModelNet40,0.00208896,99.0908203125,3.8588979421983467,110,35,4,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.003981312,30.65625,1.1563594206981103,70,12,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004030464,51.5625,1.4647769017743468,70,24,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004079616,71.064453125,1.8377226470077155,70,36,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004128768,92.283203125,2.2223576290716878,70,48,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.00417792,111.689453125,2.6120903500263815,70,60,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004227072,133.255859375,2.983328724769624,70,72,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004276224,153.068359375,3.436761344092612,70,84,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004325376,173.568359375,3.8833525356563308,70,96,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004374528,196.0703125,4.353785300287981,70,108,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.00442368,215.5703125,4.782650600388252,70,120,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004472832,235.44921875,5.238435157980143,70,132,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004521984,256.38671875,5.605139324164357,70,144,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004571136,278.07421875,6.180160113932858,70,156,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
npnet,Shapenet,0.004620288,297.966796875,6.596861187373813,70,168,2,0,1024,4,6,NVIDIA GeForce RTX 3090,25.3,8.6
